Survey,Year,Cruise Join ID,Haul Join ID,Catch Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satisfactory Gear Performance,Gear Performance Note,Gear Depth,Bottom Depth,Species Code,Common Name,Scientific Name,Weight (kg),Number of Fish,Subsample Code,Voucher Taken,akfin_load_date
EBS_SHELF,2002,1117115,1117172,1117594,200201,89,184,60.66687,-176.2058,60.66753,-176.23959,61,,,,,,,,,0,Y,Good performance,115,117,21720,Pacific cod,Gadus macrocephalus,41.62,13,,,10-Oct-18
EBS_SHELF,2002,1117115,1117180,1121462,200201,89,60,58.32245,-164.01379,58.33106,-164.01961,10,,,,,,,,,0,Y,Good performance,39,42,21720,Pacific cod,Gadus macrocephalus,9,14,,,10-Oct-18
EBS_SHELF,2004,1195616,1195834,1203559,200401,89,35,55.6773,-162.8082,55.67069,-162.8502,10,,,,,,,,,0,Y,Good performance,49,51,21720,Pacific cod,Gadus macrocephalus,27.38,31,,,10-Oct-18
EBS_SHELF,2004,1195616,1195840,1203875,200401,89,44,56.98417,-163.3968,57.00714,-163.4144,31,,,,,,,,,0,Y,Good performance,63,65,21720,Pacific cod,Gadus macrocephalus,12.27,3,,,10-Oct-18
EBS_SHELF,2004,1195616,1195843,1203995,200401,89,47,57.66171,-163.39,57.67833,-163.39033,10,,,,,,,,,0,Y,Good performance,45,47,21720,Pacific cod,Gadus macrocephalus,20.84,57,,,10-Oct-18
EBS_SHELF,2004,1195615,1195624,1197205,200401,88,53,57.99163,-164.01801,58.01753,-164.02139,10,,,,,,,,,0,Y,Good performance,45,48,21720,Pacific cod,Gadus macrocephalus,42.098,47,,,10-Oct-18
EBS_SHELF,2004,1195615,1195650,1196612,200401,88,21,57.65722,-161.4973,57.68164,-161.496,10,,,,,,,,,0,Y,Good performance,50,53,21720,Pacific cod,Gadus macrocephalus,100.899,110,,,10-Oct-18
EBS_SHELF,2004,1195616,1195861,1204525,200401,89,67,56.34124,-164.586,56.31831,-164.5699,31,,,,,,,,,0,Y,Good performance,84,86,21720,Pacific cod,Gadus macrocephalus,86.3,36,,,10-Oct-18
EBS_SHELF,2002,1117115,1117191,1120960,200201,89,73,56.33781,-165.80811,56.31325,-165.81261,31,,,,,,,,,0,Y,Good performance,88,90,21720,Pacific cod,Gadus macrocephalus,1.13,1,,,10-Oct-18
EBS_SHELF,2002,1117115,1117194,1120802,200201,89,77,56.33912,-164.57539,56.31486,-164.5665,31,,,,,,,,,0,Y,Good performance,84,86,21720,Pacific cod,Gadus macrocephalus,9.7,7,,,10-Oct-18
EBS_SHELF,2002,1117115,1117197,1120659,200201,89,83,55.33024,-166.9697,55.353,-166.97791,50,,,,,,,,,0,Y,Good performance,136,139,21720,Pacific cod,Gadus macrocephalus,12.74,5,,,10-Oct-18
EBS_SHELF,2002,1117115,1117205,1120576,200201,89,91,57.99913,-167.16949,58.02409,-167.16679,31,,,,,,,,,0,Y,Good performance,61,63,21720,Pacific cod,Gadus macrocephalus,499.526,746,,,10-Oct-18
EBS_SHELF,2003,1159454,1159605,1159964,200301,88,14,57.01014,-159.68919,56.98763,-159.7099,10,,,,,,,,,0,Y,Good performance,54,56,21720,Pacific cod,Gadus macrocephalus,137.24,136,,,10-Oct-18
EBS_SHELF,2003,1159454,1159613,1160205,200301,88,22,57.98185,-160.8454,58.00706,-160.8423,10,,,,,,,,,0,Y,Good performance,45,47,21720,Pacific cod,Gadus macrocephalus,0.545,8,,,10-Oct-18
EBS_SHELF,2004,1195615,1195674,1198286,200401,88,89,58.65916,-166.56709,58.68597,-166.5656,20,,,,,,,,,0,Y,Good performance,39,42,21720,Pacific cod,Gadus macrocephalus,11.62,13,,,10-Oct-18
EBS_SHELF,2004,1195615,1195675,1198997,200401,88,111,56.65905,-170.73981,56.68105,-170.7206,61,,,,,,,,,0,Y,Good performance,112,114,21720,Pacific cod,Gadus macrocephalus,12.8,4,,,10-Oct-18
EBS_SHELF,2004,1195616,1195880,1205199,200401,89,89,59.62422,-165.9568,59.59871,-165.9706,20,,,,,,,,,0,Y,Good performance,24,26,21720,Pacific cod,Gadus macrocephalus,0.166,5,,,10-Oct-18
EBS_SHELF,2004,1195616,1195886,1205489,200401,89,98,57.3418,-167.1232,57.31723,-167.1212,31,,,,,,,,,0,Y,Good performance,68,70,21720,Pacific cod,Gadus macrocephalus,7.18,5,,,10-Oct-18
EBS_SHELF,2003,1159454,1159625,1160470,200301,88,34,58.68193,-164.6514,58.65781,-164.6573,10,,,,,,,,,0,Y,Good performance,35,37,21720,Pacific cod,Gadus macrocephalus,11.133,16,,,10-Oct-18
